,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
35,narva,0.527,koningsberg,0.616,danizick,0.513,ienna,0.594,norwav,0.665,archangel,0.602,peteisburgh,0.693,petersbug,0.835,petersbug,0.82,petersbubg,0.835,linievitch,0.618,nicholass,0.428,trotsky,0.389
36,rostock,0.525,copen,0.611,conflantinople,0.51,copen,0.592,lotherington,0.663,meniel,0.6,trieste,0.691,petersburgl,0.831,petersbirg,0.813,petersbiurg,0.834,czar,0.617,exiled,0.428,illfated,0.389
37,lemberg,0.523,dantick,0.61,naples,0.51,constantinople,0.581,koningfburgh,0.662,mernel,0.597,petersburglh,0.69,stpetersburgh,0.829,ipetersburg,0.812,petersbure,0.833,fetrograd,0.615,attila,0.428,1914,0.389
38,czir,0.523,hamburgh,0.609,hamburgb,0.509,naples,0.58,bremcn,0.661,gottenburg,0.594,wyburg,0.689,letersburgh,0.826,ptersburg,0.809,petersbulrg,0.829,reval,0.615,kropotkin,0.427,sauveur,0.389
39,straelfund,0.519,coningsberg,0.605,ruffian,0.505,cadiz,0.579,memcl,0.657,vienna,0.591,stettin,0.688,peteisburgh,0.825,peterburgh,0.807,peterabnrg,0.827,tageblatt,0.614,exile,0.425,embassies,0.387
40,hambourg,0.517,zick,0.603,tinople,0.503,dantzick,0.577,narva,0.657,elsineur,0.587,stpetersburgh,0.684,petersburghi,0.824,petersburgli,0.803,peteesburg,0.827,sofia,0.614,paris—the,0.425,worshipped,0.387
41,leipfick,0.517,constanti,0.601,barcelona,0.5,franckfort,0.577,copenhagen,0.657,wismar,0.586,petersburg—,0.68,petcrsburg,0.821,petersbargh,0.801,petebsburg,0.826,amsterdam,0.612,ferdinand,0.425,sadors,0.387
42,lubeck,0.516,barcelona,0.597,norway,0.493,hamburgb,0.576,pcteriburgh,0.656,stralsund,0.582,memel,0.679,petereburg,0.809,petersbure,0.794,tersburg,0.822,madrid,0.611,bukarest,0.423,1915,0.385
43,leipsick,0.515,seville,0.593,vicnna,0.489,conftanti,0.571,petcrlburg,0.655,carlscrona,0.582,bremen,0.679,etersburgh,0.808,tersburg,0.791,moscow,0.822,lokalanzeiger,0.61,austriahungary,0.421,1919,0.385
44,adrianople,0.515,warlaw,0.584,ancona,0.487,manheim,0.57,libau,0.654,cronstadt,0.58,konigsburg,0.666,petorsburg,0.806,petenburg,0.79,petersbu,0.821,vremva,0.609,assissi,0.421,andrei,0.385
