,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
60,matter,0.382,free,0.321,treat,0.341,france,0.371,hessecassel,0.379,oueen,0.462,heffecaffel,0.465,einprefs,0.528,kicng,0.61,kimg,0.547,kinag,0.645,quceu,0.705,kintg,0.738,kintf,0.689,kinfr,0.562,kdward,0.516,bernhard,0.402
61,as,0.381,councell,0.321,notwithstanding,0.341,brandenburg,0.37,anjou,0.377,qneen,0.462,majelty,0.463,kinlg,0.527,k1ng,0.608,kilig,0.545,kingi,0.643,wirtemburg,0.704,k1ing,0.738,1king,0.688,quen,0.559,•king,0.515,abdi,0.401
62,i,0.381,thei,0.321,matters,0.34,notified,0.37,grandson,0.377,kingand,0.461,kingj,0.46,kinr,0.522,kingc,0.606,etruria,0.543,queeu,0.641,belgians,0.702,yking,0.737,tueen,0.688,jueen,0.558,majesty,0.514,reign,0.401
63,faid,0.38,kingdom,0.32,den,0.336,monarch,0.369,quecn,0.375,sardinia,0.461,emprefsqueen,0.46,staniflaus,0.522,kin6,0.605,kinm,0.541,maiesty,0.639,uucen,0.701,kikg,0.736,qneeu,0.688,kinrr,0.558,farouk,0.511,accession,0.4
64,him,0.38,laws,0.32,ved,0.335,dutchefs,0.367,lector,0.373,qpeen,0.459,qoeen,0.459,kiny,0.52,kidg,0.604,kink,0.54,kingf,0.638,kilg,0.7,iking,0.736,kivg,0.687,queeu,0.549,faisal,0.511,george—emp,0.4
65,whereas,0.379,age,0.32,see,0.334,margrave,0.366,sador,0.37,pruffia,0.458,emprels,0.459,klng,0.518,kiwg,0.6,kingand,0.54,qaeen,0.637,qneen,0.699,kinx,0.734,kying,0.687,kiing,0.548,feisul,0.506,selassies,0.399
66,over,0.379,13,0.319,pope,0.334,czar,0.364,disgust,0.37,kingj,0.457,elector,0.457,czar,0.509,kincg,0.599,majtsty,0.539,kinf,0.634,uueen,0.698,kiwg,0.731,qneen,0.686,majesty,0.547,queon,0.505,investiture,0.398
67,france,0.378,ea,0.319,points,0.333,princess,0.363,majsty,0.369,stanillaus,0.455,qpeen,0.455,kingr,0.508,kingj,0.597,kingj,0.539,iking,0.634,kiitg,0.698,queeu,0.731,ksing,0.686,qoeen,0.545,princo,0.503,kint,0.397
68,by,0.377,is,0.319,point,0.333,marquise,0.362,envoyextraordinary,0.369,stanislaus,0.453,kini,0.455,qgeen,0.507,kibg,0.596,kinsg,0.538,qieen,0.632,belgiaus,0.697,kiiig,0.731,jueen,0.685,edwards,0.545,vii,0.503,laeken,0.395
69,who,0.377,oa,0.318,articles,0.331,dutchess,0.362,ambas,0.367,prince,0.45,elecor,0.452,icing,0.506,kmng,0.593,kini,0.538,kimr,0.632,kring,0.697,1king,0.728,juecn,0.685,kisg,0.544,edwatd,0.502,exiled,0.394
70,re,0.377,divine,0.317,heir,0.331,mediator,0.362,de,0.366,ring,0.448,sardi,0.452,sovereign,0.506,kinsg,0.592,kingl,0.537,mlajesty,0.631,kinag,0.696,kuing,0.728,cueen,0.685,queea,0.543,quoen,0.502,leopolds,0.394
71,matters,0.377,bi,0.317,use,0.331,burgundy,0.361,czariih,0.364,denmark,0.446,majelly,0.452,kinc,0.505,qieen,0.592,majesty,0.534,kinrg,0.627,ljueen,0.693,kimr,0.727,qceen,0.683,quesn,0.542,haakon,0.5,emperor,0.393
72,without,0.374,firfi,0.317,continues,0.328,grandees,0.36,ursini,0.364,staniilaus,0.444,quen,0.45,qneen,0.503,thcking,0.589,queen,0.534,kina,0.626,kinf,0.691,kinug,0.723,qiieen,0.683,kig,0.541,yueen,0.5,saudi,0.393
73,co,0.374,te,0.316,certainly,0.327,empe,0.359,nuntio,0.364,nislaus,0.444,sicilies,0.449,eleor,0.5,kingi,0.588,kingt,0.533,kiitg,0.625,prussia,0.691,queen,0.723,kingg,0.682,queep,0.541,kint,0.499,haile,0.392
74,be,0.374,e,0.315,journey,0.325,muscovy,0.359,ambassador,0.363,gustus,0.443,majetly,0.448,qpeen,0.495,kiny,0.586,sovereigu,0.531,kinsg,0.623,oueen,0.69,klig,0.723,kitg,0.681,kin,0.539,kiiig,0.495,wilhelmina,0.392
75,them,0.37,pi,0.315,army,0.324,hanover,0.358,emperour,0.363,pruffias,0.441,eletor,0.447,kingo,0.494,kine,0.584,ksing,0.529,queen,0.622,kineg,0.69,khing,0.72,kingt,0.681,kintf,0.535,exking,0.495,prime,0.391
76,betweene,0.37,ti,0.315,intend,0.323,prussia,0.357,gustus,0.363,qoeen,0.441,prujjia,0.445,majelly,0.493,qeen,0.583,ofprussia,0.527,kin£,0.619,kittg,0.688,kincg,0.719,vueen,0.678,kingj,0.535,kinu,0.493,pold,0.391
77,feruice,0.368,pe,0.315,count,0.323,jelly,0.356,asturias,0.362,prullia,0.437,majeily,0.444,qoeen,0.491,kinp,0.581,kinf,0.526,kingj,0.619,qaeen,0.686,kingwilliam,0.717,kingi,0.676,qnoen,0.532,kingj,0.493,gustaf,0.391
78,name,0.367,truth,0.314,that,0.321,mareschal,0.356,prussian,0.362,pruffla,0.436,dinia,0.443,majefly,0.49,kin,0.58,ferdinand,0.523,lajesty,0.619,otho,0.686,quesn,0.712,kinog,0.676,vii,0.529,oueen,0.491,badoglio,0.391
79,concerning,0.366,it,0.314,act,0.32,denmark,0.355,eleonora,0.362,kiogs,0.435,icing,0.443,eleftor,0.489,kittg,0.579,majetv,0.52,imajesty,0.617,jueen,0.686,ijueen,0.709,kingj,0.675,kini,0.528,£ing,0.489,accolade,0.391
80,fayd,0.366,tlhe,0.314,has,0.32,envoy,0.355,marq,0.361,emperour,0.434,eledtor,0.441,ferdinand,0.488,kisng,0.579,kting,0.519,3lajesty,0.616,wurtemburg,0.685,kiisg,0.709,kilng,0.675,■king,0.528,belgians,0.486,dom,0.389
81,more,0.365,ft,0.314,understand,0.32,parma,0.352,hesse,0.361,staniflaus,0.434,kinj,0.44,emprels,0.488,kinm,0.579,sardinia,0.517,majcsty,0.615,quoen,0.683,qaeen,0.709,kiny,0.674,yueen,0.527,feisals,0.484,141618,0.388
82,if,0.364,right,0.313,preparations,0.32,he,0.351,ki,0.36,kinigs,0.428,eleftor,0.439,poland,0.487,killg,0.577,jking,0.512,mnjestv,0.612,kitng,0.682,khng,0.708,qneea,0.674,manoel,0.526,xin,0.484,knell,0.386
