,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
31,6f,0.364,pro,0.398,baden,0.377,lieutenant,0.423,thegeneral,0.565,chanclos,0.475,qeneral,0.598,thegeneral,0.682,geneal,0.672,genoral,0.698,gensral,0.804,geseral,0.863,ganeral,0.867,generaf,0.638,genenl,0.697,papagos,0.473
32,likewife,0.362,ge,0.397,brigadier,0.374,harrach,0.421,ge,0.555,gener,0.47,geaeral,0.595,gineral,0.679,gencial,0.671,gentral,0.691,aeneral,0.801,geneaal,0.861,genpral,0.867,neral,0.634,peneral,0.694,nera,0.472
33,oe,0.362,meeting,0.397,mackay,0.373,budde,0.418,central,0.523,majorgeneral,0.468,goneral,0.592,oeneral,0.677,geoeral,0.669,getieral,0.69,geneual,0.799,genesal,0.861,geceral,0.865,genenl,0.634,creneral,0.693,mittelhauser,0.47
34,ro,0.36,count,0.395,rendezvous,0.373,seckendorf,0.415,lieutenantgeneral,0.49,geniral,0.462,geineral,0.591,genesal,0.677,gener,0.666,ganeral,0.69,gcueral,0.796,genrral,0.859,generat,0.865,geoeral,0.634,•general,0.692,eisenhowers,0.462
35,tat,0.359,order,0.394,marquise,0.371,briga,0.41,generali,0.476,ge,0.456,igeneral,0.586,goneral,0.67,genefal,0.665,genteral,0.689,teneral,0.794,geceral,0.854,genersl,0.865,eeneral,0.633,tieneral,0.688,lieutgeneral,0.46
36,appointed,0.359,troops,0.394,chevalier,0.371,bulau,0.408,generals,0.468,wedel,0.453,genefal,0.586,generaf,0.67,getieral,0.665,geineral,0.687,geucral,0.793,genernl,0.854,gcneral,0.864,fieneral,0.632,genpral,0.686,eisenhower,0.457
37,ol,0.359,yesterday,0.393,commissaries,0.371,bauer,0.408,generalof,0.465,laudohn,0.453,getieral,0.585,geucral,0.668,teneral,0.665,generail,0.687,geaeral,0.791,ieneral,0.85,goueral,0.864,gensral,0.626,gsneral,0.685,genei,0.453
38,t,0.358,suedes,0.391,munster,0.371,rantzau,0.408,fieldmarfhal,0.461,generals,0.451,cneral,0.583,genertl,0.668,ieneral,0.662,generel,0.687,gkneral,0.791,generrl,0.85,aeneral,0.864,gsneral,0.623,sreneral,0.685,issimo,0.448
39,iu,0.358,marquis,0.391,villeroy,0.37,lieut,0.405,majorgeneral,0.459,harfch,0.446,genernl,0.582,geniral,0.668,goneral,0.661,geneal,0.686,genual,0.789,gineral,0.849,generaj,0.862,genertl,0.618,jreneral,0.683,goc,0.438
40,bufineffe,0.356,continues,0.391,governour,0.37,wightman,0.402,nantgeneral,0.454,haddick,0.44,oeneral,0.582,generali,0.668,ncral,0.656,gcneral,0.684,geuerai,0.789,eeneral,0.849,generel,0.861,genefal,0.616,gencial,0.683,lattre,0.436
41,sr,0.354,con,0.39,marefchal,0.37,ivoy,0.4,nera,0.451,majgen,0.434,grneral,0.581,genrral,0.667,genenl,0.654,gsneral,0.682,leneral,0.788,generaf,0.849,gneral,0.86,lieneral,0.616,leneral,0.682,rieneral,0.435
42,oi,0.354,sueden,0.389,marquiss,0.37,brigadier,0.399,ral,0.444,fouquet,0.433,thegeneral,0.58,geperal,0.666,geteral,0.652,generd,0.682,creneral,0.788,gentral,0.848,geucral,0.859,geperal,0.616,ganeral,0.678,genrl,0.434
43,com,0.353,ons,0.389,landgrave,0.368,lieute,0.397,tenantgeneral,0.439,nadafli,0.431,generdl,0.579,geineral,0.664,genersl,0.648,gtneral,0.681,genbral,0.788,geniral,0.847,generd,0.859,generel,0.613,gpneral,0.677,girauds,0.434
